單詞,情緒分數
刷到,0.005001
这,0.010469
条,0.006064
视频,0.025517
…,0.033441
…,0.033441
你,0.075191
离,0.999943
学会,0.999962
化妆,0.87592
就,0.305707
不远,0.000494
了,0.103906
！,0.001203
！,0.001203
超级,0.987925
超级,0.987925
详细,0.999962
的,0.368506
底妆,0.965781
教程,0.999942
。,0.036835
从,0.471119
护肤,0.999963
到,0.542532
定妆,0.044903
，,0.009304
想,0.038334
学,0.999963
底妆,0.965781
看,0.999825
这,0.010469
一,0.010558
个,0.002308
视频,0.025517
的,0.368506
内容,0.0037
就,0.305707
够,0.999955
了,0.103906
！,0.001203
"
",0.037232
视频,0.025517
有点,0.013058
长,0.998797
，,0.009304
记得,0.999963
收藏,0.999963
慢慢,0.170567
看,0.999825
！,0.001203
"

💗
1.",0.006139
护肤,0.999963
"
2.",0.001532
防晒,0.848493
"
3.",0.00155
妆前乳,0.998027
"
4.",0.001565
遮瑕,0.011059
"
5.",0.001891
气垫,0.002193
/,0.003202
持妆,0.815685
粉底液,0.042048
用法,0.986348
"
6.",0.002096
提亮,0.947234
 ,0.037232
（,0.032379
为什么,0.001924
泪沟,0.999963
遮,0.001202
不,0.002385
住,0.01416
？,0.00437
）,0.055182
"
7.",0.00246
定妆,0.044903
 散粉,0.001645
/,0.003202
粉饼,0.999963
用法,0.986348
"
8.",0.002333
关于,0.989242
底妆,0.965781
焦虑,0.988908
"

#",0.014012
暑假,0.999962
学,0.999963
化妆,0.87592
#,0.014012
笔记,0.998288
灵感,0.999963
#,0.014012
新手,0.006561
化妆,0.87592
0,0.000267
巨无敌,0.999959
详细,0.999962
的,0.368506
新手,0.006561
淡妆,0.987488
教程,0.999942
！,0.001203
下,0.943397
次,0.004085
化妆,0.87592
打开,5.4e-05
这,0.010469
个,0.002308
视频,0.025517
跟,0.003942
着,0.956758
画,0.999919
就,0.305707
好,0.999962
啦,0.487935
#,0.014012
今日,0.99994
妆容,0.982621
#,0.014012
化妆,0.87592
教程,0.999942
#,0.014012
新手,0.006561
化妆,0.87592
技巧,0.999962
#,0.014012
新手,0.006561
化妆,0.87592
#,0.014012
保姆级,0.996809
教程,0.999942
#,0.014012
妆容,0.982621
教程,0.999942
"
#cleanmakeup",0.154918
"
#",0.014012
改,0.000924
妆,0.98104
我,0.000628
听,0.986684
劝,3.6e-05
这,0.010469
是,0.001972
魔法,0.999963
吗,0.01983
？,0.00437
你们,0.001665
要,0.59401
的,0.368506
妆容,0.982621
教程,0.999942
来,0.885449
了,0.103906
~,0.006256
"
#",0.014012
妆容,0.982621
教程,0.999942
#,0.014012
修容,0.001548
教程,0.999942
#,0.014012
眼妆,0.119996
刷到,0.005001
这,0.010469
条,0.006064
视频,0.025517
…,0.033441
…,0.033441
你,0.075191
离,0.999943
学会,0.999962
化妆,0.87592
就,0.305707
不远,0.000494
了,0.103906
！,0.001203
！,0.001203
超级,0.987925
超级,0.987925
详细,0.999962
的,0.368506
底妆,0.965781
教程,0.999942
。,0.036835
从,0.471119
护肤,0.999963
到,0.542532
定妆,0.044903
，,0.009304
想,0.038334
学,0.999963
底妆,0.965781
看,0.999825
这,0.010469
一,0.010558
个,0.002308
视频,0.025517
的,0.368506
内容,0.0037
就,0.305707
够,0.999955
了,0.103906
！,0.001203
"
",0.037232
视频,0.025517
有点,0.013058
长,0.998797
，,0.009304
记得,0.999963
收藏,0.999963
慢慢,0.170567
看,0.999825
！,0.001203
"

💗
1.",0.006139
护肤,0.999963
"
2.",0.001532
防晒,0.848493
"
3.",0.00155
妆前乳,0.998027
"
4.",0.001565
遮瑕,0.011059
"
5.",0.001891
气垫,0.002193
/,0.003202
持妆,0.815685
粉底液,0.042048
用法,0.986348
"
6.",0.002096
提亮,0.947234
 ,0.037232
（,0.032379
为什么,0.001924
泪沟,0.999963
遮,0.001202
不,0.002385
住,0.01416
？,0.00437
）,0.055182
"
7.",0.00246
定妆,0.044903
 散粉,0.001645
/,0.003202
粉饼,0.999963
用法,0.986348
"
8.",0.002333
关于,0.989242
底妆,0.965781
焦虑,0.988908
"

#",0.014012
暑假,0.999962
学,0.999963
化妆,0.87592
#,0.014012
笔记,0.998288
灵感,0.999963
#,0.014012
新手,0.006561
化妆,0.87592
刷到,0.005001
这,0.010469
条,0.006064
视频,0.025517
…,0.033441
…,0.033441
你,0.075191
离,0.999943
学会,0.999962
化妆,0.87592
就,0.305707
不远,0.000494
了,0.103906
！,0.001203
！,0.001203
超级,0.987925
超级,0.987925
详细,0.999962
的,0.368506
底妆,0.965781
教程,0.999942
。,0.036835
从,0.471119
护肤,0.999963
到,0.542532
定妆,0.044903
，,0.009304
想,0.038334
学,0.999963
底妆,0.965781
看,0.999825
这,0.010469
一,0.010558
个,0.002308
视频,0.025517
的,0.368506
内容,0.0037
就,0.305707
够,0.999955
了,0.103906
！,0.001203
"
",0.037232
视频,0.025517
有点,0.013058
长,0.998797
，,0.009304
记得,0.999963
收藏,0.999963
慢慢,0.170567
看,0.999825
！,0.001203
"

💗
1.",0.006139
护肤,0.999963
"
2.",0.001532
防晒,0.848493
"
3.",0.00155
妆前乳,0.998027
"
4.",0.001565
遮瑕,0.011059
"
5.",0.001891
气垫,0.002193
/,0.003202
持妆,0.815685
粉底液,0.042048
用法,0.986348
"
6.",0.002096
提亮,0.947234
 ,0.037232
（,0.032379
为什么,0.001924
泪沟,0.999963
遮,0.001202
不,0.002385
住,0.01416
？,0.00437
）,0.055182
"
7.",0.00246
定妆,0.044903
 散粉,0.001645
/,0.003202
粉饼,0.999963
用法,0.986348
"
8.",0.002333
关于,0.989242
底妆,0.965781
焦虑,0.988908
"

#",0.014012
暑假,0.999962
学,0.999963
化妆,0.87592
#,0.014012
笔记,0.998288
灵感,0.999963
#,0.014012
新手,0.006561
化妆,0.87592
刷到,0.005001
这,0.010469
条,0.006064
视频,0.025517
…,0.033441
…,0.033441
你,0.075191
离,0.999943
学会,0.999962
化妆,0.87592
就,0.305707
不远,0.000494
了,0.103906
！,0.001203
！,0.001203
超级,0.987925
超级,0.987925
详细,0.999962
的,0.368506
底妆,0.965781
教程,0.999942
。,0.036835
从,0.471119
护肤,0.999963
到,0.542532
定妆,0.044903
，,0.009304
想,0.038334
学,0.999963
底妆,0.965781
看,0.999825
这,0.010469
一,0.010558
个,0.002308
视频,0.025517
的,0.368506
内容,0.0037
就,0.305707
够,0.999955
了,0.103906
！,0.001203
"
",0.037232
视频,0.025517
有点,0.013058
长,0.998797
，,0.009304
记得,0.999963
收藏,0.999963
慢慢,0.170567
看,0.999825
！,0.001203
"

💗
1.",0.006139
护肤,0.999963
"
2.",0.001532
防晒,0.848493
"
3.",0.00155
妆前乳,0.998027
"
4.",0.001565
遮瑕,0.011059
"
5.",0.001891
气垫,0.002193
/,0.003202
持妆,0.815685
粉底液,0.042048
用法,0.986348
"
6.",0.002096
提亮,0.947234
 ,0.037232
（,0.032379
为什么,0.001924
泪沟,0.999963
遮,0.001202
不,0.002385
住,0.01416
？,0.00437
）,0.055182
"
7.",0.00246
定妆,0.044903
 散粉,0.001645
/,0.003202
粉饼,0.999963
用法,0.986348
"
8.",0.002333
关于,0.989242
底妆,0.965781
焦虑,0.988908
"

#",0.014012
暑假,0.999962
学,0.999963
化妆,0.87592
#,0.014012
笔记,0.998288
灵感,0.999963
#,0.014012
新手,0.006561
化妆,0.87592
0,0.000267
巨无敌,0.999959
详细,0.999962
的,0.368506
新手,0.006561
淡妆,0.987488
教程,0.999942
！,0.001203
下,0.943397
次,0.004085
化妆,0.87592
打开,5.4e-05
这,0.010469
个,0.002308
视频,0.025517
跟,0.003942
着,0.956758
画,0.999919
就,0.305707
好,0.999962
啦,0.487935
#,0.014012
今日,0.99994
妆容,0.982621
#,0.014012
化妆,0.87592
教程,0.999942
#,0.014012
新手,0.006561
化妆,0.87592
技巧,0.999962
#,0.014012
新手,0.006561
化妆,0.87592
#,0.014012
保姆级,0.996809
教程,0.999942
#,0.014012
妆容,0.982621
教程,0.999942
"
#cleanmakeup",0.154918
"
#",0.014012
改,0.000924
妆,0.98104
我,0.000628
听,0.986684
劝,3.6e-05
这,0.010469
是,0.001972
魔法,0.999963
吗,0.01983
？,0.00437
你们,0.001665
要,0.59401
的,0.368506
妆容,0.982621
教程,0.999942
来,0.885449
了,0.103906
~,0.006256
"
#",0.014012
妆容,0.982621
教程,0.999942
#,0.014012
修容,0.001548
教程,0.999942
#,0.014012
眼妆,0.119996
新手,0.006561
保姆,0.996533
级,0.856693
画眉,0.0095
教程,0.999942
，,0.009304
3,0.001392
种,0.988798
画法,0.999855
自然,0.99996
妈,0.999921
生,0.428247
感,0.976594
get,0.250051
姐妹,0.999963
们,0.789512
发现,0.002492
没有,0.004286
，,0.009304
眉毛,0.002268
才,0.000379
是,0.001972
整,0.027509
个,0.002308
妆面,0.994966
的,0.368506
灵魂,0.999963
和,0.604069
整,0.027509
个,0.002308
妆容,0.982621
的,0.368506
决定性,0.566193
因素,0.351111
！,0.001203
"
",0.037232
对于,0.690775
新手,0.006561
来,0.885449
说,0.000205
，,0.009304
是,0.001972
学习,0.999963
化妆,0.87592
第一,0.991832
步,0.999958
就,0.305707
要,0.59401
学习,0.999963
的,0.368506
地方,0.999963
，,0.009304
也,0.912719
是,0.001972
很多,0.999951
新手,0.006561
学,0.999963
不,0.002385
会,0.599614
画,0.999919
不,0.002385
好,0.999962
的,0.368506
地方,0.999963
"
",0.037232
总是,0.844025
在,0.566759
我,0.000628
的,0.368506
视频,0.025517
下面,0.427157
看到,0.99986
有,0.51643
姐妹,0.999963
要,0.59401
把,0.009551
手,0.156257
寄给,0.008138
我,0.000628
化,0.529077
眉毛,0.002268
，,0.009304
然后,0.06105
我,0.000628
就,0.305707
麻溜,0.007975
的,0.368506
拍,0.015503
了,0.103906
一,0.010558
期,0.037649
眉毛,0.002268
化,0.529077
法,0.999727
"
",0.037232
我,0.000628
不,0.002385
允许,0.993457
我,0.000628
的,0.368506
宝子,0.999963
们,0.789512
不会,5.3e-05
画,0.999919
眉,0.004576
！,0.001203
"
",0.037232
#,0.014012
今日,0.99994
妆容,0.982621
#,0.014012
我,0.000628
的,0.368506
美妆,0.999963
分享,0.999963
#,0.014012
新手,0.006561
化妆,0.87592
#,0.014012
新手,0.006561
化妆,0.87592
技巧,0.999962
#,0.014012
新手,0.006561
画,0.999919
眉,0.004576
#,0.014012
画,0.999919
眉,0.004576
仙气飘飘,0.999962
年会,0.999914
派,0.998524
对妆,0.05068
✨,0.789478
放大,0.009312
颜值,0.99995
100%,0.98876
这,0.010469
个,0.002308
妆,0.98104
必须,0.286415
出,0.501559
教程,0.999942
！,0.001203
太,3.9e-05
适合,0.999956
最近,0.999766
的,0.368506
派对,0.999872
氛围,0.999954
了,0.103906
！,0.001203
姐妹,0.999963
们,0.789512
都,0.299263
给,0.86028
我,0.000628
仙,0.997026
起来,0.996332
！,0.001203
"
-
",0.006624
底妆,0.965781
 chanel,0.996684
 ,0.037232
小磨方,0.093813
"
",0.037232
定妆,0.044903
 ,0.037232
"香缇卡
",0.001936
眼影,0.999963
 橘朵,0.741146
"# 14
",0.003076
眼线,0.031981
 fujiko,0.066693
 01,0.003167
"
",0.037232
睫毛,0.233319
 xianen,0.0508
 cos,0.997633
008,0.081393
➕,0.033441
雪里奈,0.999168
"
闪片",0.001709
 华伦,0.998141
天奴,0.999921
# 02,0.003041
"
",0.037232
粉棕色,0.969709
眼线,0.031981
 ,0.037232
艾杜纱,0.99971
"02
",0.000904
腮红,0.2295
 3,0.001392
ce,0.00698
 like,0.335528
 that,0.003607
"
",0.037232
高光,0.985202
 bobbi,0.929662
 brown ,0.932347
月光石,0.999962
"
",0.037232
口红,0.961221
 joocyee,0.048187
乐乐茶,0.995144
05,0.012705
"
#",0.014012
妆容,0.982621
分享,0.999963
#,0.014012
今日,0.99994
妆容,0.982621
